Pavarde             Vardas              Galutinis (Vid.)    
Pavarde116          Vardas116           6.96                
Pavarde1160         Vardas1160          7.46                
Pavarde1161         Vardas1161          5.48                
Pavarde1162         Vardas1162          6.35                
Pavarde1163         Vardas1163          7.19                
Pavarde1164         Vardas1164          6.93                
Pavarde1165         Vardas1165          6.40                
Pavarde1167         Vardas1167          6.72                
Pavarde1168         Vardas1168          5.69                
Pavarde117          Vardas117           6.30                
Pavarde1172         Vardas1172          6.08                
Pavarde1173         Vardas1173          6.38                
Pavarde1175         Vardas1175          6.45                
Pavarde1178         Vardas1178          6.92                
Pavarde1180         Vardas1180          7.61                
Pavarde1182         Vardas1182          8.17                
Pavarde1183         Vardas1183          6.21                
Pavarde1184         Vardas1184          8.12                
Pavarde1185         Vardas1185          6.60                
Pavarde1188         Vardas1188          7.34                
Pavarde1189         Vardas1189          5.70                
Pavarde119          Vardas119           5.03                
Pavarde1190         Vardas1190          7.78                
Pavarde1194         Vardas1194          7.21                
Pavarde1197         Vardas1197          7.73                
Pavarde1198         Vardas1198          8.17                
Pavarde120          Vardas120           5.36                
Pavarde1202         Vardas1202          5.20                
Pavarde1203         Vardas1203          6.17                
Pavarde1205         Vardas1205          7.69                
Pavarde1206         Vardas1206          6.37                
Pavarde1207         Vardas1207          6.31                
Pavarde1208         Vardas1208          5.77                
Pavarde121          Vardas121           5.33                
Pavarde1210         Vardas1210          8.08                
Pavarde1211         Vardas1211          7.81                
Pavarde1213         Vardas1213          8.32                
Pavarde1214         Vardas1214          7.54                
Pavarde1215         Vardas1215          7.39                
Pavarde1216         Vardas1216          5.76                
Pavarde1220         Vardas1220          5.80                
Pavarde1223         Vardas1223          5.65                
Pavarde1227         Vardas1227          5.62                
Pavarde1229         Vardas1229          8.01                
Pavarde123          Vardas123           6.18                
Pavarde1230         Vardas1230          8.14                
Pavarde1231         Vardas1231          6.62                
Pavarde1233         Vardas1233          7.56                
Pavarde1234         Vardas1234          7.38                
Pavarde1236         Vardas1236          7.02                
Pavarde1237         Vardas1237          7.79                
Pavarde1238         Vardas1238          5.79                
Pavarde124          Vardas124           7.59                
Pavarde1243         Vardas1243          6.86                
Pavarde1244         Vardas1244          5.79                
Pavarde1245         Vardas1245          7.56                
Pavarde1246         Vardas1246          8.40                
Pavarde1247         Vardas1247          6.93                
Pavarde1249         Vardas1249          5.19                
Pavarde1251         Vardas1251          6.94                
Pavarde1254         Vardas1254          6.94                
Pavarde1257         Vardas1257          7.90                
Pavarde1258         Vardas1258          8.30                
Pavarde1259         Vardas1259          7.15                
Pavarde126          Vardas126           6.37                
Pavarde1261         Vardas1261          6.45                
Pavarde1262         Vardas1262          7.97                
Pavarde1264         Vardas1264          5.17                
Pavarde1267         Vardas1267          7.02                
Pavarde1269         Vardas1269          7.10                
Pavarde1272         Vardas1272          7.55                
Pavarde1274         Vardas1274          7.31                
Pavarde1276         Vardas1276          7.11                
Pavarde1277         Vardas1277          5.75                
Pavarde1279         Vardas1279          8.25                
Pavarde128          Vardas128           5.08                
Pavarde1280         Vardas1280          6.03                
Pavarde1281         Vardas1281          8.07                
Pavarde1282         Vardas1282          5.25                
Pavarde1283         Vardas1283          6.25                
Pavarde1286         Vardas1286          5.42                
Pavarde1287         Vardas1287          8.18                
Pavarde1288         Vardas1288          5.30                
Pavarde1289         Vardas1289          6.79                
Pavarde1291         Vardas1291          6.54                
Pavarde1292         Vardas1292          8.29                
Pavarde1293         Vardas1293          7.69                
Pavarde1294         Vardas1294          7.00                
Pavarde1296         Vardas1296          7.22                
Pavarde1298         Vardas1298          8.15                
Pavarde1299         Vardas1299          7.13                
Pavarde13           Vardas13            5.57                
Pavarde130          Vardas130           7.09                
Pavarde1301         Vardas1301          7.18                
Pavarde1302         Vardas1302          6.64                
Pavarde1304         Vardas1304          5.97                
Pavarde1313         Vardas1313          6.26                
Pavarde1314         Vardas1314          6.07                
Pavarde1315         Vardas1315          8.37                
Pavarde1316         Vardas1316          8.20                
Pavarde1317         Vardas1317          7.41                
Pavarde1319         Vardas1319          8.10                
Pavarde1320         Vardas1320          8.30                
Pavarde1321         Vardas1321          8.08                
Pavarde1322         Vardas1322          5.86                
Pavarde1324         Vardas1324          5.80                
Pavarde1325         Vardas1325          6.94                
Pavarde1327         Vardas1327          6.60                
Pavarde1328         Vardas1328          6.37                
Pavarde133          Vardas133           6.07                
Pavarde1330         Vardas1330          7.16                
Pavarde1332         Vardas1332          5.41                
Pavarde1335         Vardas1335          5.14                
Pavarde1336         Vardas1336          8.10                
Pavarde1341         Vardas1341          7.39                
Pavarde1342         Vardas1342          7.11                
Pavarde1343         Vardas1343          7.08                
Pavarde1344         Vardas1344          6.27                
Pavarde1345         Vardas1345          5.19                
Pavarde1346         Vardas1346          6.03                
Pavarde1347         Vardas1347          6.60                
Pavarde1349         Vardas1349          8.24                
Pavarde135          Vardas135           5.17                
Pavarde1351         Vardas1351          7.62                
Pavarde1353         Vardas1353          8.36                
Pavarde1355         Vardas1355          8.07                
Pavarde1356         Vardas1356          8.14                
Pavarde1358         Vardas1358          6.16                
Pavarde136          Vardas136           6.88                
Pavarde1362         Vardas1362          6.55                
Pavarde1363         Vardas1363          7.72                
Pavarde1364         Vardas1364          7.88                
Pavarde1365         Vardas1365          6.93                
Pavarde1366         Vardas1366          6.55                
Pavarde1368         Vardas1368          8.09                
Pavarde137          Vardas137           7.24                
Pavarde1370         Vardas1370          8.29                
Pavarde1371         Vardas1371          8.37                
Pavarde1372         Vardas1372          8.04                
Pavarde1373         Vardas1373          7.35                
Pavarde1374         Vardas1374          8.25                
Pavarde1376         Vardas1376          5.74                
Pavarde1378         Vardas1378          5.39                
Pavarde1379         Vardas1379          5.34                
Pavarde138          Vardas138           6.97                
Pavarde1382         Vardas1382          5.21                
Pavarde1383         Vardas1383          8.06                
Pavarde1388         Vardas1388          6.28                
Pavarde1389         Vardas1389          6.39                
Pavarde139          Vardas139           6.39                
Pavarde1390         Vardas1390          5.80                
Pavarde1392         Vardas1392          7.39                
Pavarde1393         Vardas1393          8.26                
Pavarde1394         Vardas1394          6.41                
Pavarde1396         Vardas1396          6.20                
Pavarde1398         Vardas1398          5.94                
Pavarde14           Vardas14            5.13                
Pavarde140          Vardas140           6.46                
Pavarde1401         Vardas1401          6.19                
Pavarde1402         Vardas1402          5.48                
Pavarde1403         Vardas1403          6.49                
Pavarde1405         Vardas1405          6.33                
Pavarde1408         Vardas1408          6.94                
Pavarde141          Vardas141           7.64                
Pavarde1412         Vardas1412          7.75                
Pavarde1413         Vardas1413          6.00                
Pavarde1414         Vardas1414          6.98                
Pavarde1415         Vardas1415          7.28                
Pavarde1416         Vardas1416          6.23                
Pavarde1417         Vardas1417          5.26                
Pavarde1419         Vardas1419          7.47                
Pavarde1422         Vardas1422          8.37                
Pavarde1423         Vardas1423          8.37                
Pavarde1424         Vardas1424          6.03                
Pavarde1426         Vardas1426          6.93                
Pavarde1427         Vardas1427          6.53                
Pavarde1430         Vardas1430          7.13                
Pavarde1431         Vardas1431          8.14                
Pavarde1433         Vardas1433          5.21                
Pavarde1434         Vardas1434          7.57                
Pavarde1435         Vardas1435          5.85                
Pavarde1436         Vardas1436          5.26                
Pavarde1438         Vardas1438          5.13                
Pavarde1441         Vardas1441          6.41                
Pavarde1442         Vardas1442          8.38                
Pavarde1443         Vardas1443          8.04                
Pavarde1445         Vardas1445          5.76                
Pavarde1446         Vardas1446          8.18                
Pavarde1447         Vardas1447          6.31                
Pavarde1449         Vardas1449          6.32                
Pavarde145          Vardas145           5.27                
Pavarde1450         Vardas1450          6.84                
Pavarde1453         Vardas1453          7.17                
Pavarde1454         Vardas1454          8.46                
Pavarde1456         Vardas1456          5.23                
Pavarde1457         Vardas1457          5.01                
Pavarde1459         Vardas1459          6.53                
Pavarde146          Vardas146           5.01                
Pavarde1460         Vardas1460          6.47                
Pavarde1461         Vardas1461          5.72                
Pavarde1462         Vardas1462          6.19                
Pavarde1465         Vardas1465          5.40                
Pavarde1468         Vardas1468          7.43                
Pavarde1469         Vardas1469          5.37                
Pavarde147          Vardas147           5.05                
Pavarde1470         Vardas1470          8.22                
Pavarde1471         Vardas1471          5.59                
Pavarde1472         Vardas1472          7.96                
Pavarde1474         Vardas1474          5.01                
Pavarde1478         Vardas1478          5.61                
Pavarde1479         Vardas1479          5.13                
Pavarde148          Vardas148           6.65                
Pavarde1481         Vardas1481          5.67                
Pavarde1482         Vardas1482          5.54                
Pavarde1483         Vardas1483          7.59                
Pavarde1484         Vardas1484          5.34                
Pavarde1485         Vardas1485          8.07                
Pavarde1487         Vardas1487          8.17                
Pavarde1488         Vardas1488          5.19                
Pavarde1489         Vardas1489          6.38                
Pavarde1490         Vardas1490          6.39                
Pavarde1491         Vardas1491          6.96                
Pavarde1494         Vardas1494          7.35                
Pavarde1496         Vardas1496          6.01                
Pavarde1498         Vardas1498          5.02                
Pavarde1499         Vardas1499          5.66                
Pavarde1501         Vardas1501          8.31                
Pavarde1502         Vardas1502          6.80                
Pavarde1504         Vardas1504          8.10                
Pavarde1505         Vardas1505          5.73                
Pavarde1506         Vardas1506          8.22                
Pavarde1507         Vardas1507          6.48                
Pavarde1508         Vardas1508          8.50                
Pavarde1512         Vardas1512          6.91                
Pavarde1515         Vardas1515          7.59                
Pavarde1516         Vardas1516          7.46                
Pavarde1517         Vardas1517          7.55                
Pavarde1519         Vardas1519          6.50                
Pavarde1520         Vardas1520          8.00                
Pavarde1521         Vardas1521          7.49                
Pavarde1524         Vardas1524          5.60                
Pavarde1526         Vardas1526          6.46                
Pavarde1527         Vardas1527          5.00                
Pavarde1528         Vardas1528          7.49                
Pavarde153          Vardas153           7.70                
Pavarde1532         Vardas1532          5.99                
Pavarde1533         Vardas1533          7.65                
Pavarde1535         Vardas1535          5.92                
Pavarde1536         Vardas1536          5.70                
Pavarde1539         Vardas1539          6.18                
Pavarde1540         Vardas1540          8.27                
Pavarde1542         Vardas1542          6.29                
Pavarde1543         Vardas1543          7.59                
Pavarde1544         Vardas1544          6.45                
Pavarde1547         Vardas1547          5.96                
Pavarde1548         Vardas1548          5.38                
Pavarde1549         Vardas1549          5.55                
Pavarde1551         Vardas1551          6.19                
Pavarde1552         Vardas1552          6.18                
Pavarde1553         Vardas1553          7.15                
Pavarde1554         Vardas1554          5.13                
Pavarde1555         Vardas1555          5.52                
Pavarde1557         Vardas1557          7.05                
Pavarde1558         Vardas1558          6.96                
Pavarde1559         Vardas1559          6.42                
Pavarde1560         Vardas1560          7.12                
Pavarde1561         Vardas1561          5.20                
Pavarde1562         Vardas1562          8.31                
Pavarde1563         Vardas1563          7.03                
Pavarde1571         Vardas1571          8.23                
Pavarde1572         Vardas1572          6.48                
Pavarde1573         Vardas1573          5.41                
Pavarde1577         Vardas1577          7.70                
Pavarde158          Vardas158           6.05                
Pavarde1581         Vardas1581          6.53                
Pavarde1582         Vardas1582          8.26                
Pavarde1583         Vardas1583          5.21                
Pavarde1585         Vardas1585          5.77                
Pavarde1586         Vardas1586          7.17                
Pavarde1587         Vardas1587          5.23                
Pavarde159          Vardas159           8.32                
Pavarde1591         Vardas1591          8.19                
Pavarde1594         Vardas1594          5.87                
Pavarde1595         Vardas1595          5.18                
Pavarde1596         Vardas1596          5.84                
Pavarde1598         Vardas1598          6.99                
Pavarde1599         Vardas1599          8.39                
Pavarde16           Vardas16            5.94                
Pavarde160          Vardas160           6.42                
Pavarde1600         Vardas1600          5.86                
Pavarde1604         Vardas1604          5.64                
Pavarde1605         Vardas1605          8.37                
Pavarde1608         Vardas1608          6.16                
Pavarde1610         Vardas1610          7.67                
Pavarde1613         Vardas1613          7.21                
Pavarde1614         Vardas1614          8.16                
Pavarde1616         Vardas1616          5.50                
Pavarde1618         Vardas1618          7.79                
Pavarde1619         Vardas1619          5.20                
Pavarde162          Vardas162           8.42                
Pavarde1620         Vardas1620          5.90                
Pavarde1622         Vardas1622          6.22                
Pavarde1625         Vardas1625          7.39                
Pavarde1626         Vardas1626          6.89                
Pavarde1630         Vardas1630          6.35                
Pavarde1631         Vardas1631          7.39                
Pavarde1632         Vardas1632          6.32                
Pavarde1633         Vardas1633          6.12                
Pavarde1634         Vardas1634          8.23                
Pavarde1635         Vardas1635          6.24                
Pavarde1636         Vardas1636          7.80                
Pavarde1638         Vardas1638          7.81                
Pavarde164          Vardas164           7.35                
Pavarde1640         Vardas1640          5.87                
Pavarde1641         Vardas1641          5.07                
Pavarde1644         Vardas1644          5.05                
Pavarde1645         Vardas1645          6.30                
Pavarde1646         Vardas1646          5.04                
Pavarde1649         Vardas1649          6.06                
Pavarde165          Vardas165           5.25                
Pavarde1652         Vardas1652          5.92                
Pavarde1653         Vardas1653          7.60                
Pavarde1656         Vardas1656          5.65                
Pavarde1658         Vardas1658          6.46                
Pavarde1659         Vardas1659          7.51                
Pavarde166          Vardas166           5.35                
Pavarde1660         Vardas1660          7.71                
Pavarde1662         Vardas1662          5.16                
Pavarde1663         Vardas1663          5.47                
Pavarde1665         Vardas1665          8.27                
Pavarde1666         Vardas1666          7.85                
Pavarde167          Vardas167           6.35                
Pavarde1671         Vardas1671          5.22                
Pavarde1672         Vardas1672          7.79                
Pavarde1674         Vardas1674          5.93                
Pavarde1677         Vardas1677          7.48                
Pavarde1679         Vardas1679          6.76                
Pavarde1681         Vardas1681          8.25                
Pavarde1682         Vardas1682          5.12                
Pavarde1685         Vardas1685          5.13                
Pavarde1686         Vardas1686          6.88                
Pavarde1687         Vardas1687          8.06                
Pavarde1688         Vardas1688          7.26                
Pavarde169          Vardas169           7.03                
Pavarde1690         Vardas1690          6.36                
Pavarde1691         Vardas1691          7.89                
Pavarde1694         Vardas1694          5.96                
Pavarde1696         Vardas1696          6.64                
Pavarde1699         Vardas1699          6.97                
Pavarde17           Vardas17            7.84                
Pavarde1701         Vardas1701          6.85                
Pavarde1702         Vardas1702          6.25                
Pavarde1703         Vardas1703          6.95                
Pavarde1704         Vardas1704          5.32                
Pavarde1706         Vardas1706          6.31                
Pavarde1707         Vardas1707          7.19                
Pavarde1711         Vardas1711          6.36                
Pavarde1715         Vardas1715          7.42                
Pavarde1716         Vardas1716          8.36                
Pavarde1718         Vardas1718          6.05                
Pavarde1719         Vardas1719          6.60                
Pavarde172          Vardas172           8.35                
Pavarde1721         Vardas1721          5.09                
Pavarde1722         Vardas1722          6.34                
Pavarde1723         Vardas1723          6.67                
Pavarde1725         Vardas1725          5.63                
Pavarde1726         Vardas1726          5.70                
Pavarde1728         Vardas1728          5.61                
Pavarde1729         Vardas1729          6.42                
Pavarde173          Vardas173           8.25                
Pavarde1732         Vardas1732          7.84                
Pavarde1734         Vardas1734          7.56                
Pavarde1735         Vardas1735          7.57                
Pavarde1736         Vardas1736          6.45                
Pavarde1737         Vardas1737          7.93                
Pavarde1738         Vardas1738          7.15                
Pavarde1739         Vardas1739          6.60                
Pavarde174          Vardas174           7.02                
Pavarde1741         Vardas1741          5.26                
Pavarde1742         Vardas1742          7.59                
Pavarde1746         Vardas1746          8.12                
Pavarde1747         Vardas1747          5.80                
Pavarde1748         Vardas1748          6.77                
Pavarde1749         Vardas1749          6.76                
Pavarde175          Vardas175           5.87                
Pavarde1750         Vardas1750          7.76                
Pavarde1752         Vardas1752          5.19                
Pavarde1753         Vardas1753          6.53                
Pavarde1754         Vardas1754          7.50                
Pavarde1756         Vardas1756          6.08                
Pavarde1758         Vardas1758          6.98                
Pavarde1759         Vardas1759          5.05                
Pavarde1761         Vardas1761          5.33                
Pavarde1762         Vardas1762          8.06                
Pavarde1764         Vardas1764          5.04                
Pavarde1765         Vardas1765          8.22                
Pavarde1766         Vardas1766          5.79                
Pavarde1768         Vardas1768          5.72                
Pavarde1773         Vardas1773          6.05                
Pavarde1777         Vardas1777          8.04                
Pavarde1779         Vardas1779          6.13                
Pavarde178          Vardas178           5.47                
Pavarde1780         Vardas1780          5.80                
Pavarde1782         Vardas1782          7.21                
Pavarde1783         Vardas1783          7.57                
Pavarde1784         Vardas1784          7.38                
Pavarde1785         Vardas1785          6.95                
Pavarde1787         Vardas1787          8.31                
Pavarde1788         Vardas1788          7.57                
Pavarde1790         Vardas1790          5.95                
Pavarde1792         Vardas1792          7.82                
Pavarde1793         Vardas1793          6.96                
Pavarde1794         Vardas1794          6.53                
Pavarde1795         Vardas1795          5.80                
Pavarde1796         Vardas1796          7.09                
Pavarde1798         Vardas1798          6.51                
Pavarde18           Vardas18            6.32                
Pavarde180          Vardas180           5.12                
Pavarde1800         Vardas1800          7.06                
Pavarde1802         Vardas1802          8.08                
Pavarde1803         Vardas1803          8.19                
Pavarde1804         Vardas1804          7.03                
Pavarde1805         Vardas1805          8.09                
Pavarde1806         Vardas1806          5.53                
Pavarde1807         Vardas1807          8.16                
Pavarde1808         Vardas1808          6.12                
Pavarde1809         Vardas1809          5.06                
Pavarde1810         Vardas1810          8.41                
Pavarde1812         Vardas1812          8.21                
Pavarde1813         Vardas1813          5.48                
Pavarde1815         Vardas1815          7.01                
Pavarde1816         Vardas1816          6.11                
Pavarde1818         Vardas1818          7.22                
Pavarde182          Vardas182           6.99                
Pavarde1823         Vardas1823          7.71                
Pavarde1824         Vardas1824          5.70                
Pavarde1826         Vardas1826          5.45                
Pavarde1827         Vardas1827          5.11                
Pavarde1828         Vardas1828          6.70                
Pavarde1829         Vardas1829          6.47                
Pavarde183          Vardas183           8.23                
Pavarde1830         Vardas1830          5.04                
Pavarde1831         Vardas1831          6.64                
Pavarde1832         Vardas1832          7.03                
Pavarde1833         Vardas1833          7.35                
Pavarde1835         Vardas1835          5.94                
Pavarde1837         Vardas1837          7.72                
Pavarde1838         Vardas1838          5.84                
Pavarde1839         Vardas1839          5.75                
Pavarde184          Vardas184           6.93                
Pavarde1842         Vardas1842          6.24                
Pavarde1843         Vardas1843          6.29                
Pavarde1844         Vardas1844          5.39                
Pavarde1845         Vardas1845          5.17                
Pavarde1846         Vardas1846          7.04                
Pavarde1848         Vardas1848          6.38                
Pavarde1850         Vardas1850          6.40                
Pavarde1852         Vardas1852          8.25                
Pavarde1853         Vardas1853          6.91                
Pavarde1855         Vardas1855          5.76                
Pavarde1856         Vardas1856          7.46                
Pavarde1857         Vardas1857          7.61                
Pavarde1858         Vardas1858          5.80                
Pavarde1859         Vardas1859          5.59                
Pavarde1861         Vardas1861          5.03                
Pavarde1862         Vardas1862          7.05                
Pavarde1863         Vardas1863          7.84                
Pavarde1865         Vardas1865          6.75                
Pavarde1867         Vardas1867          5.59                
Pavarde1868         Vardas1868          6.92                
Pavarde1869         Vardas1869          8.53                
Pavarde187          Vardas187           5.84                
Pavarde1870         Vardas1870          7.05                
Pavarde1871         Vardas1871          8.13                
Pavarde1872         Vardas1872          6.66                
Pavarde1873         Vardas1873          7.95                
Pavarde1874         Vardas1874          7.84                
Pavarde1875         Vardas1875          6.25                
Pavarde1876         Vardas1876          6.07                
Pavarde1877         Vardas1877          5.70                
Pavarde188          Vardas188           8.10                
Pavarde1880         Vardas1880          5.27                
Pavarde1881         Vardas1881          8.53                
Pavarde1883         Vardas1883          8.11                
Pavarde1885         Vardas1885          7.32                
Pavarde1886         Vardas1886          5.86                
Pavarde1887         Vardas1887          5.70                
Pavarde1888         Vardas1888          7.81                
Pavarde1890         Vardas1890          8.41                
Pavarde1891         Vardas1891          5.38                
Pavarde1892         Vardas1892          6.94                
Pavarde1896         Vardas1896          8.14                
Pavarde1897         Vardas1897          8.10                
Pavarde1898         Vardas1898          5.71                
Pavarde190          Vardas190           8.25                
Pavarde1900         Vardas1900          6.55                
Pavarde1902         Vardas1902          7.66                
Pavarde1903         Vardas1903          6.02                
Pavarde1905         Vardas1905          5.64                
Pavarde1906         Vardas1906          7.47                
Pavarde1908         Vardas1908          5.86                
Pavarde1909         Vardas1909          5.13                
Pavarde1916         Vardas1916          6.77                
Pavarde1918         Vardas1918          7.69                
Pavarde1921         Vardas1921          5.83                
Pavarde1922         Vardas1922          6.38                
Pavarde1924         Vardas1924          6.43                
Pavarde1925         Vardas1925          5.43                
Pavarde1926         Vardas1926          8.32                
Pavarde1928         Vardas1928          5.41                
Pavarde1929         Vardas1929          6.77                
Pavarde193          Vardas193           7.64                
Pavarde1930         Vardas1930          5.77                
Pavarde1931         Vardas1931          5.67                
Pavarde1932         Vardas1932          6.93                
Pavarde1935         Vardas1935          5.86                
Pavarde1936         Vardas1936          8.21                
Pavarde1939         Vardas1939          7.53                
Pavarde194          Vardas194           5.73                
Pavarde1943         Vardas1943          6.67                
Pavarde1944         Vardas1944          6.78                
Pavarde1948         Vardas1948          6.43                
Pavarde1950         Vardas1950          7.49                
Pavarde1953         Vardas1953          7.75                
Pavarde1954         Vardas1954          5.19                
Pavarde1955         Vardas1955          7.30                
Pavarde196          Vardas196           8.37                
Pavarde1960         Vardas1960          5.78                
Pavarde1961         Vardas1961          5.84                
Pavarde1963         Vardas1963          8.16                
Pavarde1964         Vardas1964          6.50                
Pavarde1968         Vardas1968          6.81                
Pavarde197          Vardas197           5.80                
Pavarde1970         Vardas1970          5.96                
Pavarde1975         Vardas1975          8.16                
Pavarde1976         Vardas1976          7.85                
Pavarde1977         Vardas1977          5.58                
Pavarde198          Vardas198           6.11                
Pavarde1981         Vardas1981          7.98                
Pavarde1985         Vardas1985          6.94                
Pavarde1987         Vardas1987          5.31                
Pavarde1988         Vardas1988          7.05                
Pavarde1989         Vardas1989          5.10                
Pavarde199          Vardas199           8.34                
Pavarde1991         Vardas1991          8.58                
Pavarde1995         Vardas1995          5.91                
Pavarde1997         Vardas1997          5.77                
Pavarde1998         Vardas1998          7.75                
Pavarde1999         Vardas1999          5.68                
Pavarde2            Vardas2             6.47                
Pavarde20           Vardas20            8.27                
Pavarde200          Vardas200           6.89                
Pavarde2000         Vardas2000          5.46                
Pavarde2003         Vardas2003          6.92                
Pavarde2004         Vardas2004          8.02                
Pavarde2005         Vardas2005          8.05                
Pavarde2008         Vardas2008          6.19                
Pavarde201          Vardas201           5.22                
Pavarde2010         Vardas2010          5.05                
Pavarde2012         Vardas2012          6.22                
Pavarde2013         Vardas2013          6.25                
Pavarde2015         Vardas2015          7.49                
Pavarde2017         Vardas2017          8.20                
Pavarde2019         Vardas2019          7.58                
Pavarde2020         Vardas2020          8.43                
Pavarde2021         Vardas2021          7.35                
Pavarde2023         Vardas2023          5.54                
Pavarde2024         Vardas2024          7.15                
Pavarde2025         Vardas2025          7.88                
Pavarde2026         Vardas2026          5.68                
Pavarde203          Vardas203           6.70                
Pavarde2031         Vardas2031          7.94                
Pavarde2032         Vardas2032          7.37                
Pavarde2033         Vardas2033          7.85                
Pavarde2035         Vardas2035          5.91                
Pavarde2039         Vardas2039          6.28                
Pavarde204          Vardas204           8.30                
Pavarde2040         Vardas2040          5.03                
Pavarde2042         Vardas2042          5.33                
Pavarde2046         Vardas2046          7.64                
Pavarde2047         Vardas2047          5.35                
Pavarde2050         Vardas2050          7.11                
Pavarde2051         Vardas2051          5.52                
Pavarde2052         Vardas2052          6.93                
Pavarde2053         Vardas2053          5.18                
Pavarde2055         Vardas2055          6.60                
Pavarde2056         Vardas2056          7.62                
Pavarde2057         Vardas2057          6.17                
Pavarde2058         Vardas2058          5.43                
Pavarde2059         Vardas2059          8.18                
Pavarde2062         Vardas2062          6.79                
Pavarde2064         Vardas2064          7.73                
Pavarde2065         Vardas2065          6.45                
Pavarde2066         Vardas2066          7.36                
Pavarde2067         Vardas2067          5.27                
Pavarde2069         Vardas2069          8.27                
Pavarde207          Vardas207           5.42                
Pavarde2070         Vardas2070          7.15                
Pavarde2071         Vardas2071          7.75                
Pavarde2072         Vardas2072          8.34                
Pavarde2075         Vardas2075          8.13                
Pavarde2077         Vardas2077          6.43                
Pavarde2079         Vardas2079          8.46                
Pavarde208          Vardas208           6.70                
Pavarde2080         Vardas2080          8.43                
Pavarde2081         Vardas2081          6.05                
Pavarde2082         Vardas2082          6.33                
Pavarde2084         Vardas2084          7.67                
Pavarde2085         Vardas2085          5.54                
Pavarde2086         Vardas2086          5.84                
Pavarde2087         Vardas2087          6.53                
Pavarde2088         Vardas2088          7.98                
